document_id,eid,csv_title,api_title,csv_field,api_field,item_type,period,keywords,source_url,api_url,raw_file_path,collected_at,checksum,content_length,has_body,license_note,attribution,status,error,csv_row_number,sample_stratum,response_eid,eid_match,title_match,field_match,api_only_fields,response_root_fields
aks:E0061924,E0061924,우리투자증권㈜,우리투자증권㈜,경제·산업/경제,경제·산업/경제,단체,현대,,http://encykorea.aks.ac.kr/Contents/Item/E0061924,https://devin.aks.ac.kr:8080/api/articles/E0061924,data/raw/api_audit/E0061924.json,2026-08-28T03:50:44Z,10940a00b51a526226d8ac8a883a97c8203cfe741d8d7355c2407ecd75a819aa,1289,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[우리투자증권㈜],『한국민족문화대백과사전』",ok,,58179,경제·산업,E0061924,true,true,true,articleAliases;articleAttributes;contentsType;definition;footNote;headMID;headMedia;headwordOrigin;lastModifiedTime;origin;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;summary;url;writerInfo,articleAliases;articleAttributes;body;contentsType;definition;eid;era;field;footNote;hashtags;headMID;headMedia;headword;headwordOrigin;lastModifiedTime;origin;primaryType;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;secondaryType;summary;url;writerInfo
aks:E0059872,E0059872,평기,평기,과학/과학기술,과학/과학기술,개념,미상,,http://encykorea.aks.ac.kr/Contents/Item/E0059872,https://devin.aks.ac.kr:8080/api/articles/E0059872,data/raw/api_audit/E0059872.json,2026-08-28T03:50:44Z,f29f5e57ef0f08d7ae7aa93a73c10fed85468814ff9474510b6321ebb72ab653,2687,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[평기],『한국민족문화대백과사전』",ok,,56206,과학,E0059872,true,true,true,articleAliases;articleAttributes;contentsType;definition;footNote;headMID;headMedia;headwordOrigin;lastModifiedTime;origin;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;summary;url;writerInfo,articleAliases;articleAttributes;body;contentsType;definition;eid;era;field;footNote;hashtags;headMID;headMedia;headword;headwordOrigin;lastModifiedTime;origin;primaryType;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;secondaryType;summary;url;writerInfo
aks:E0068972,E0068972,농축우라늄,농축우라늄,과학/과학기술,과학/과학기술,물품,현대,우라늄 원자폭탄 핵무기,http://encykorea.aks.ac.kr/Contents/Item/E0068972,https://devin.aks.ac.kr:8080/api/articles/E0068972,data/raw/api_audit/E0068972.json,2026-08-28T03:50:44Z,5ce735929f766254c07b64598f1556c9475b20486f0a5eb3235fe025caab62a2,1071,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[농축우라늄],『한국민족문화대백과사전』",ok,,64721,과학,E0068972,true,true,true,articleAliases;articleAttributes;contentsType;definition;footNote;headMID;headMedia;headwordOrigin;lastModifiedTime;origin;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;summary;url;writerInfo,articleAliases;articleAttributes;body;contentsType;definition;eid;era;field;footNote;hashtags;headMID;headMedia;headword;headwordOrigin;lastModifiedTime;origin;primaryType;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;secondaryType;summary;url;writerInfo
aks:E0061721,E0061721,한성고등학교,한성고등학교,교육/교육,교육/학교교육,단체/학교,현대,경성실업전수학교 사립고등학교 서울시_고등학교 한성상업학교 한성중학교,http://encykorea.aks.ac.kr/Contents/Item/E0061721,https://devin.aks.ac.kr:8080/api/articles/E0061721,data/raw/api_audit/E0061721.json,2026-08-28T03:50:45Z,cee7993c92fbe2612d6db71d2b1e4c3a13cb3ed53ff4aa01f0b48625ae3da635,1217,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[한성고등학교],『한국민족문화대백과사전』",ok,,57980,교육,E0061721,true,true,false,articleAliases;articleAttributes;contentsType;definition;footNote;headMID;headMedia;headwordOrigin;lastModifiedTime;origin;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;summary;url;writerInfo,articleAliases;articleAttributes;body;contentsType;definition;eid;era;field;footNote;hashtags;headMID;headMedia;headword;headwordOrigin;lastModifiedTime;origin;primaryType;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;secondaryType;summary;url;writerInfo
aks:E0017610,E0017610,만분가,만분가,문학/고전시가,문학/고전시가,작품/문학,조선/조선 전기,유배가사 잡동산이 조위,http://encykorea.aks.ac.kr/Contents/Item/E0017610,https://devin.aks.ac.kr:8080/api/articles/E0017610,data/raw/api_audit/E0017610.json,2026-08-28T03:50:45Z,051ebd9970ba27a32c8192fbe42f60179012d22fe01daab714c712fd0027a882,399,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[만분가],『한국민족문화대백과사전』",ok,,16385,문학,E0017610,true,true,true,articleAliases;articleAttributes;contentsType;definition;footNote;headMID;headMedia;headwordOrigin;lastModifiedTime;origin;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;summary;url;writerInfo,articleAliases;articleAttributes;body;contentsType;definition;eid;era;field;footNote;hashtags;headMID;headMedia;headword;headwordOrigin;lastModifiedTime;origin;primaryType;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;secondaryType;summary;url;writerInfo
aks:E0018456,E0018456,모더니즘,모더니즘,문학/현대문학,문학/현대문학,개념,미상,,http://encykorea.aks.ac.kr/Contents/Item/E0018456,https://devin.aks.ac.kr:8080/api/articles/E0018456,data/raw/api_audit/E0018456.json,2026-08-28T03:50:45Z,f3e3750a659801fdeaa078f3575fdf9b7e4ddb31a142b9111f6a2009d6c57af5,2626,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[모더니즘],『한국민족문화대백과사전』",ok,,17183,문학,E0018456,true,true,true,articleAliases;articleAttributes;contentsType;definition;footNote;headMID;headMedia;headwordOrigin;lastModifiedTime;origin;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;summary;url;writerInfo,articleAliases;articleAttributes;body;contentsType;definition;eid;era;field;footNote;hashtags;headMID;headMedia;headword;headwordOrigin;lastModifiedTime;origin;primaryType;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;secondaryType;summary;url;writerInfo
aks:E0063878,E0063878,호텔,호텔,사회/사회구조,사회/사회구조,개념,현대,,http://encykorea.aks.ac.kr/Contents/Item/E0063878,https://devin.aks.ac.kr:8080/api/articles/E0063878,data/raw/api_audit/E0063878.json,2026-08-28T03:50:45Z,29b212aa8fb0f0e1582eaa8383179ef87eacc87a9ea7f0bafce7b9206933f0fe,1461,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[호텔],『한국민족문화대백과사전』",ok,,60030,사회,E0063878,true,true,true,articleAliases;articleAttributes;contentsType;definition;footNote;headMID;headMedia;headwordOrigin;lastModifiedTime;origin;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;summary;url;writerInfo,articleAliases;articleAttributes;body;contentsType;definition;eid;era;field;footNote;hashtags;headMID;headMedia;headword;headwordOrigin;lastModifiedTime;origin;primaryType;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;secondaryType;summary;url;writerInfo
aks:E0035137,E0035137,알쌈,알쌈,생활/식생활,생활/식생활,물품,현대,,http://encykorea.aks.ac.kr/Contents/Item/E0035137,https://devin.aks.ac.kr:8080/api/articles/E0035137,data/raw/api_audit/E0035137.json,2026-08-28T03:50:45Z,a7819006b735f1eacd636456e389e6c2bff5679d5e0257ed03597a2aa75a1180,414,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[알쌈],『한국민족문화대백과사전』",ok,,32773,생활,E0035137,true,true,true,articleAliases;articleAttributes;contentsType;definition;footNote;headMID;headMedia;headwordOrigin;lastModifiedTime;origin;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;summary;url;writerInfo,articleAliases;articleAttributes;body;contentsType;definition;eid;era;field;footNote;hashtags;headMID;headMedia;headword;headwordOrigin;lastModifiedTime;origin;primaryType;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;secondaryType;summary;url;writerInfo
aks:E0060178,E0060178,포저유서 및 송곡문집 판각,포저유서 및 송곡문집 판각,언론·출판/출판,언론·출판/출판 | 역사/조선시대사,물품,미상,조복양 조익,http://encykorea.aks.ac.kr/Contents/Item/E0060178,https://devin.aks.ac.kr:8080/api/articles/E0060178,data/raw/api_audit/E0060178.json,2026-08-28T03:50:45Z,0653e6b4ad1aadd8900efc10a6724bf653f8b53f1a8f11b05f489cb245a2181d,839,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[포저유서 및 송곡문집 판각],『한국민족문화대백과사전』",ok,,56499,언론·출판,E0060178,true,true,false,articleAliases;articleAttributes;contentsType;definition;footNote;headMID;headMedia;headwordOrigin;lastModifiedTime;origin;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;summary;url;writerInfo,articleAliases;articleAttributes;body;contentsType;definition;eid;era;field;footNote;hashtags;headMID;headMedia;headword;headwordOrigin;lastModifiedTime;origin;primaryType;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;secondaryType;summary;url;writerInfo
aks:E0069077,E0069077,"대방광원각수다라료의경(언해) 권상1의1, 2의1~3, 권하1의1~2, 2의2~3","대방광원각수다라요의경(언해) 권상1의1, 2의1~3, 권하1의1~2, 2의2~3",언어/언어·문자,언어/언어·문자,문헌/고서,조선/조선 전기,신미 원각경 원각경언해 한계희 한글불경 황수신 효령대군,http://encykorea.aks.ac.kr/Contents/Item/E0069077,https://devin.aks.ac.kr:8080/api/articles/E0069077,data/raw/api_audit/E0069077.json,2026-08-28T03:50:45Z,1cdee0da641372a83c4bacdf713604eac20093a92b4a287614b3c803c5b76139,2764,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[대방광원각수다라요의경(언해) 권상1의1, 2의1~3, 권하1의1~2, 2의2~3],『한국민족문화대백과사전』",warning,title_mismatch,64781,언어,E0069077,true,false,true,articleAliases;articleAttributes;contentsType;definition;footNote;headMID;headMedia;headwordOrigin;lastModifiedTime;origin;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;summary;url;writerInfo,articleAliases;articleAttributes;body;contentsType;definition;eid;era;field;footNote;hashtags;headMID;headMedia;headword;headwordOrigin;lastModifiedTime;origin;primaryType;primaryTypePartA;primaryTypePartB;reference;relatedArticles;relatedMedias;secondaryType;summary;url;writerInfo
